,Qwen/Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-4B,Qwen/Qwen3-Embedding-8B,fyaronskiy/code_retriever_ru_en,fyaronskiy/code_retriever_ru_en_512,fyaronskiy/code_retriever_ru_en_256,fyaronskiy/code_retriever_ru_en_128,fyaronskiy/code_retriever_ru_en_64
apps.,0.8242,0.92906,0.93252,0.13504,0.12783,0.11855,0.10712,0.071
codefeedback-st.,0.92171,0.96204,0.97687,0.81083,0.80391,0.78686,0.76273,0.70254
stackoverflow-qa.,0.91019,0.95474,0.96097,0.81192,0.80323,0.79713,0.76834,0.71944
cosqa.,0.41885,0.48151,0.47824,0.25464,0.24394,0.2407,0.20943,0.18714
CodeSearchNet-go.,0.85627,0.93391,0.92184,0.76006,0.75306,0.74463,0.73605,0.66926
CodeSearchNet-java.,0.83726,0.91208,0.90933,0.74042,0.74036,0.72715,0.71305,0.66606
CodeSearchNet-javascript.,0.77867,0.83153,0.84329,0.56581,0.56451,0.5397,0.51723,0.47112
CodeSearchNet-ruby.,0.90007,0.94924,0.94424,0.7999,0.80322,0.79158,0.74385,0.72137
CodeSearchNet-python.,0.84108,0.91513,0.87154,0.90852,0.90199,0.89911,0.8793,0.84402
CodeSearchNet-php.,0.89685,0.93594,0.93772,0.82843,0.82582,0.81664,0.79503,0.74801
